day,month,farm,block,row#,tree#,treatment,pollenmix,uid,no.visits,final,year,seedcount,age,carpel 1,carpel 2,carpel 3,carpel 4,carpel 5,carpel 6,carpel 7,carpel 8,carpel 9,measurer,seeds
3,10,rizzatto,cos,40,14,o,na,310cos_O_fs13,NA,1,2018,2.1,187,0,0,1,1,0.1,NA,NA,NA,NA,LK,2
28,9,ausfarm,v1,59,44,v,na,289v1_v_fs107,10,1,2018,2.1,249,1.1,0,1,0,0,NA,NA,NA,NA,LK,2
2,10,ausfarm,acr,33,34,v,na,210acr_v_fs516,2,1,2018,2.1,245,0,0,0,1,1.1,NA,NA,NA,NA,LK,2
1,10,savio,for,12,58,v,na,110for_v_fs358,9,1,2018,2.1,246,0,0,0.1,2,0,NA,NA,NA,NA,LK,2
2,10,aeroview,hb2,2,76,hp,mix,210hb2_HP_fs011,NA,1,2018,3,186,0,1,1,1,0,NA,NA,NA,NA,LK,3
27,9,rizzatto,cos,48,38,hp,PL_mix,279cos_HP_fs112,NA,1,2018,3,193,1,0,2,0,0,NA,NA,NA,NA,GB,3
30,9,ausfarm,acr,40,21,hp,PL_mix,309acr_HP_fs122,NA,1,2018,3,187,1,2,0,0,0,NA,NA,NA,NA,LK,3
3,10,rizzatto,cos,5,76,o,na,310cos_O_fs_a001,NA,1,2018,3,187,0,1,1,0,1,NA,NA,NA,NA,LK,3
7,10,savio,bir,6,79,hp,PL_mix,710bir_HP_fs105,NA,1,2018,3,181,1,0,0,2,0,NA,NA,NA,NA,GB,3
6,10,nicoletti,23,NA,NA,o,na,Nic_23_ O _ 1 _ 3,NA,1,2017,3,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,3
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 1 _ 1,NA,1,2017,3,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,3
1,10,fastfruit,pit,NA,NA,o,na,Fas_Pitch3_ O _ 1 _ 1,NA,1,2017,3,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,3
10,10,ausfarm,bri,21,47,v,na,1010bri_v_fs107,9,1,2018,3,237,2,1,0,0,0,NA,NA,NA,NA,LK,3
2,10,ausfarm,v1,59,37,v,na,210v1_v_fs509,10,1,2018,3,245,1,0,0,1,1,NA,NA,NA,NA,LK,3
29,9,rizzatto,cos,5,76,v,na,299cos_v_fs103,9,1,2018,3,248,0,0,1,1,1,NA,NA,NA,NA,LK,3
30,9,ausfarm,acr,22,24,o,na,309acr_O_fs7,NA,1,2018,3.1,187,1,1,1,0,0.1,NA,NA,NA,NA,LK,3
3,10,rizzatto,cos,37,12,o,na,310cos_O_fs11,NA,1,2018,3.1,187,2,1.1,0,0,0,NA,NA,NA,NA,LK,3
28,9,ausfarm,v1,59,44,v,na,289v1_v_fs106,3,1,2018,3.1,249,0.1,2,1,0,0,NA,NA,NA,NA,LK,3
29,9,fastfruit,pit,12,88,o,na,299pit_O_fs17,NA,1,2018,3.3,189,0.1,0.1,0.1,2,1,NA,NA,NA,NA,LK,3
2,10,aeroview,hb2,3,30,hp,mix,210hb2_HP_fs004,NA,1,2018,4,186,1,0,2,1,0,NA,NA,NA,NA,LK,4
27,9,rizzatto,cos,37,70,hp,mix,279cos_HP_fs10,NA,1,2018,4,193,2,1,1,0,0,NA,NA,NA,NA,GB,4
26,9,ausfarm,ber,NA,NA,o,na,Aus_Bert_ O _ 1 _ 1,NA,1,2017,4,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,4
26,9,ausfarm,ber,NA,NA,hp,mix,Aus_Bert_ C-HP _ 2 _ 1,NA,1,2017,4,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,4
27,9,savio,bir,NA,NA,o,na,Sav_Bird_ O _ 2 _ 2,NA,1,2017,4,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,4
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 1 _ 3,NA,1,2017,4,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,4
2,10,ausfarm,acr,22,44,v,na,210acr_v_fs378,10,1,2018,4,245,0,0,0,2,2,NA,NA,NA,NA,LK,4
1,10,savio,for,21,42,v,na,110for_v_fs344,9,1,2018,4,246,0,0,2,1,1,NA,NA,NA,NA,LK,4
29,9,ausfarm,v1,58,43,hp,PL_mix,299v1_HP_fs7,NA,1,2018,4.1,188,1,0,1,1,1.1,NA,NA,NA,NA,LK,4
3,10,rizzatto,cos,23,80,o,na,310cos_O_fs10,NA,1,2018,4.1,187,1,0.1,1,2,0,NA,NA,NA,NA,LK,4
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 3 _ 2,NA,1,2017,4.1,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,4
26,9,ausfarm,ber,NA,NA,hp,mix,Aus_Bert_ C-HP _ 1 _ 2,NA,1,2017,4.1,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,4
8,10,aeroview,hb2,NA,NA,o,na,Aer_House Block 2_ O _ 2 _ 2,NA,1,2017,4.1,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,4
28,9,fastfruit,pit,7,71,hp,PL_mix,289pit_HP_fs111,NA,1,2018,4.2,190,0.1,0.1,2,1,1,NA,NA,NA,NA,LK,4
27,9,savio,bir,NA,NA,o,na,Sav_Bird_ O _ 1 _ 2,NA,1,2017,4.2,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,4
15,10,aeroview,hb2,2,76,o,na,1510hb2_O_fs020,NA,1,2018,5,173,2,2,1,0,0,NA,NA,NA,NA,GB,5
2,10,savio,bir,9,43,o,na,210bir_O_fs9,NA,1,2018,5,186,1,2,0,2,0,NA,NA,NA,NA,LK,5
27,9,rizzatto,cos,37,70,hp,PL_mix,279cos_HP_fs110,NA,1,2018,5,193,2,1,0,2,0,NA,NA,NA,NA,GB,5
27,9,rizzatto,cos,56,42,hp,PL_mix,279cos_HP_fs114,NA,1,2018,5,193,1,0,1,2,1,NA,NA,NA,NA,GB,5
28,9,fastfruit,pit,7,71,hp,PL_mix,289pit_HP_fs110,NA,1,2018,5,190,2,0,1,1,1,NA,NA,NA,NA,LK,5
30,9,ausfarm,acr,34,22,hp,PL_mix,309acr_HP_fs118,NA,1,2018,5,187,1,2,0,2,0,NA,NA,NA,NA,LK,5
30,9,ausfarm,acr,34,22,hp,PL_mix,309acr_HP_fs120,NA,1,2018,5,187,1,2,1,1,0,NA,NA,NA,NA,LK,5
30,9,ausfarm,acr,22,44,hp,mix,309acr_HP_fs7,NA,1,2018,5,187,1,2,2,0,0,NA,NA,NA,NA,GB,5
3,10,rizzatto,cos,8,111,o,na,310cos_O_fs_a003,NA,1,2018,5,187,1,2,2,0,0,NA,NA,NA,NA,LK,5
3,10,rizzatto,cos,37,70,o,na,310cos_O_fs20,NA,1,2018,5,187,1,1,1,1,1,NA,NA,NA,NA,LK,5
4,10,savio,for,2,64,o,na,410for_O_fs201,NA,1,2018,5,187,2,1,1,1,0,NA,NA,NA,NA,LK,5
4,10,savio,for,20,13,o,na,410for_O_fs212,NA,1,2018,5,184,0,0,2,1,2,NA,NA,NA,NA,LK,5
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 1 _ 1,NA,1,2017,5,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,5
10,10,ausfarm,acr,NA,NA,hp,mix,Aus_16 Acres_ C-HP _ 3 _ 1,NA,1,2017,5,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,5
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 5 _ 3,NA,1,2017,5,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,5
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 5 _ 4,NA,1,2017,5,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,5
8,10,aeroview,hb2,NA,NA,o,na,Aer_House Block 2_ O _ 1 _ 1,NA,1,2017,5,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,5
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 4 _ 1,NA,1,2017,5,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,5
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 4 _ 3,NA,1,2017,5,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,5
28,9,ausfarm,v1,34,129,v,na,289v1_v_fs103,10,1,2018,5,249,1,2,1,1,0,NA,NA,NA,NA,LK,5
10,10,ausfarm,bri,20,16,v,na,1010bri_v_fs103,5,1,2018,5,237,1,1,1,0,2,NA,NA,NA,NA,LK,5
10,10,ausfarm,bri,21,47,v,na,1010bri_v_fs4,13,1,2018,5,237,1,2,0,1,1,NA,NA,NA,NA,LK,5
10,10,ausfarm,bri,20,16,v,na,1010bri_v_fs1,9,1,2018,5,237,2,1,0,1,1,NA,NA,NA,NA,LK,5
2,10,ausfarm,v1,30,84,v,na,210v1_v_fs110,10,1,2018,5,245,2,0,1,1,1,NA,NA,NA,NA,LK,5
15,10,aeroview,hb2,5,17,o,na,1510hb2_O_fs007,NA,1,2018,5.1,173,1.1,2,1,1,0,NA,NA,NA,NA,GB,5
2,10,aeroview,hb2,5,41,hp,mix,210hb2_HP_fs017,NA,1,2018,5.1,186,2,1.1,0,2,0,NA,NA,NA,NA,LK,5
2,10,aeroview,hb2,2,76,hp,PL_mix,210hb2_HP_fs112,NA,1,2018,5.1,186,1.1,2,1,1,0,NA,NA,NA,NA,GB,5
27,9,rizzatto,cos,37,70,hp,PL_mix,279cos_HP_fs108,NA,1,2018,5.1,193,1,2,2,0,0.1,NA,NA,NA,NA,GB,5
27,9,rizzatto,cos,48,38,hp,mix,279cos_HP_fs13,NA,1,2018,5.1,193,NA,1,1.1,2,1,NA,NA,NA,NA,GB,5
28,9,fastfruit,pit,7,71,hp,PL_mix,289pit_HP_fs109,NA,1,2018,5.1,190,2,1.1,1,1,0,NA,NA,NA,NA,LK,5
4,10,ausfarm,acr,22,24,o,na,410acr_O_fs009,NA,1,2018,5.1,187,1,1,2,1,0.1,NA,NA,NA,NA,LK,5
6,10,nicoletti,23,NA,NA,o,na,Nic_23_ O _ 1 _ 1,NA,1,2017,5.1,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,5
1,10,savio,for,21,42,hp,mix,110for_HP_fs104,NA,1,2018,5.2,187,1,1,0.1,1.1,1,1,NA,NA,NA,LK,5
1,10,savio,for,12,29,hp,mix,110for_HP_fs114,NA,1,2018,5.2,187,0.1,2,2,1.1,0,NA,NA,NA,NA,LK,5
1,10,savio,for,20,13,hp,mix,110for_HP_fs101,NA,1,2018,6,187,2,1,2,0,1,NA,NA,NA,NA,LK,6
1,10,savio,for,20,13,o,na,110for_O_fs7,NA,1,2018,6,184,2,0,1,1,2,NA,NA,NA,NA,LK,6
16,10,ausfarm,bri,21,47,hp,PL_mix,1610bri_HP_fs005,NA,1,2018,6,171,1,2,1,1,1,NA,NA,NA,NA,GB,6
16,10,ausfarm,bri,20,16,hp,mix,1610bri_HP_fs101,NA,1,2018,6,171,2,2,2,0,0,NA,NA,NA,NA,LK,6
2,10,aeroview,hb2,2,45,hp,mix,210hb2_HP_fs008,NA,1,2018,6,186,1,1,1,2,1,NA,NA,NA,NA,LK,6
2,10,ausfarm,v1,62,6,o,na,210v1_O_fs18,NA,1,2018,6,NA,2,2,0,1,1,NA,NA,NA,NA,LK,6
29,9,ausfarm,v1,62,6,hp,mix,299v1_HP_fs116,NA,1,2018,6,188,1,1,1,1,2,NA,NA,NA,NA,GB,6
30,9,ausfarm,acr,21,49,hp,PL_mix,309acr_HP_fs103,NA,1,2018,6,187,0,2,2,2,NA,NA,NA,NA,NA,LK,6
7,10,savio,bir,14,112,hp,PL_mix,710bir_HP_fs113,NA,1,2018,6,181,1,1,2,1,1,NA,NA,NA,NA,LK,6
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 1 _ 3,NA,1,2017,6,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 4 _ 1,NA,1,2017,6,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
10,10,ausfarm,acr,NA,NA,hp,mix,Aus_16 Acres_ C-HP _ 1 _ 1,NA,1,2017,6,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
27,9,savio,bir,NA,NA,o,na,Sav_Bird_ O _ 1 _ 1,NA,1,2017,6,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
27,9,savio,bir,NA,NA,o,na,Sav_Bird_ O _ 2 _ 3,NA,1,2017,6,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 4 _ 2,NA,1,2017,6,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
1,10,savio,for,20,13,hp,PL_mix,110for_HP_fs1,NA,1,2018,6.1,187,1,0.1,1,2,2,NA,NA,NA,NA,GB,6
1,10,savio,for,12,29,hp,mix,110for_HP_fs115,NA,1,2018,6.1,187,2,1,0.1,1,2,NA,NA,NA,NA,LK,6
2,10,aeroview,hb2,3,22,hp,mix,210hb2_HP_fs001,NA,1,2018,6.1,186,2,1,1.1,1,1,NA,NA,NA,NA,LK,6
30,9,ausfarm,acr,10,34,hp,PL_mix,309acr_HP_fs101,NA,1,2018,6.1,187,2,1,2,1,0.1,NA,NA,NA,NA,LK,6
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 3 _ 4,NA,1,2017,6.1,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
26,9,ausfarm,ber,NA,NA,hp,mix,Aus_Bert_ C-HP _ 1 _ 3,NA,1,2017,6.1,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 5 _ 2,NA,1,2017,6.1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 2 _ 1,NA,1,2017,6.1,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 3 _ 4,NA,1,2017,6.1,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 4 _ 2,NA,1,2017,6.1,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
30,9,ausfarm,acr,33,34,hp,mix,309acr_HP_fs15,NA,1,2018,6.2,187,2,2,1,0.1,1.1,NA,NA,NA,NA,GB,6
30,9,ausfarm,acr,27,65,o,na,309acr_O_fs10,NA,1,2018,6.2,187,1.1,1,1.1,2,1,NA,NA,NA,NA,LK,6
10,10,ausfarm,acr,NA,NA,hp,mix,Aus_16 Acres_ C-HP _ 1 _ 3,NA,1,2017,6.2,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,6
30,9,ausfarm,acr,40,21,hp,mix,309acr_HP_fs22,NA,1,2018,6.5,187,0.2,2,0.2,2,2.1,NA,NA,NA,NA,GB,7
1,10,savio,for,13,30,hp,mix,110for_HP_fs110,NA,1,2018,7,187,2,0,2,2,1,NA,NA,NA,NA,LK,7
1,10,savio,for,32,42,hp,PL_mix,110for_HP_fs16,NA,1,2018,7,187,2,0,2,2,1,NA,NA,NA,NA,GB,7
16,10,ausfarm,bri,26,43,hp,mix,1610bri_HP_fs109,NA,1,2018,7,171,1,1,1,2,2,NA,NA,NA,NA,LK,7
2,10,aeroview,hb2,2,76,hp,mix,210hb2_HP_fs010,NA,1,2018,7,186,1,2,2,0,2,NA,NA,NA,NA,LK,7
2,10,aeroview,hb2,5,47,hp,mix,210hb2_HP_fs014,NA,1,2018,7,186,2,1,2,1,1,NA,NA,NA,NA,LK,7
2,10,aeroview,hb2,14,50,hp,mix,210hb2_HP_fs024,NA,1,2018,7,186,2,1,1,2,1,NA,NA,NA,NA,LK,7
2,10,aeroview,hb2,2,45,hp,PL_mix,210hb2_HP_fs107,NA,1,2018,7,186,2,1,1,2,1,NA,NA,NA,NA,GB,7
2,10,aeroview,hb2,2,45,hp,PL_mix,210hb2_HP_fs108,NA,1,2018,7,186,1,2,1,2,1,NA,NA,NA,NA,GB,7
2,10,ausfarm,v1,30,84,o,na,210v1_O_fs1,NA,1,2018,7,185,2,1,2,0,2,NA,NA,NA,NA,LK,7
2,10,ausfarm,v1,37,57,o,na,210v1_O_fs6,NA,1,2018,7,185,1,2,1,1,2,NA,NA,NA,NA,LK,7
27,9,savio,bir,11,80,hp,mix,279bir_HP_fs40,NA,1,2018,7,191,2,1,2,1,1,NA,NA,NA,NA,LK,7
27,9,rizzatto,cos,5,76,hp,mix,279cos_HP_fs1,NA,1,2018,7,193,1,2,1,2,1,NA,NA,NA,NA,GB,7
28,9,fastfruit,pit,8,82,hp,PL_mix,289pit_HP_fs118,NA,1,2018,7,190,1,2,2,1,1,NA,NA,NA,NA,LK,7
29,9,ausfarm,v1,30,84,hp,mix,299v1_HP_fs101,NA,1,2018,7,188,1,1,2,1,2,NA,NA,NA,NA,GB,7
29,9,ausfarm,v1,59,37,hp,mix,299v1_HP_fs111,NA,1,2018,7,188,1,1,2,1,2,NA,NA,NA,NA,GB,7
29,9,ausfarm,v1,62,6,hp,PL_mix,299v1_HP_fs18,NA,1,2018,7,188,1,2,1,2,1,NA,NA,NA,NA,LK,7
30,9,ausfarm,acr,22,44,hp,PL_mix,309acr_HP_fs106,NA,1,2018,7,187,2,1,1,1,2,NA,NA,NA,NA,LK,7
30,9,ausfarm,acr,22,24,hp,mix,309acr_HP_fs11,NA,1,2018,7,187,2,2,1,1,1,NA,NA,NA,NA,GB,7
30,9,ausfarm,acr,34,22,hp,PL_mix,309acr_HP_fs119,NA,1,2018,7,187,1,2,1,1,2,NA,NA,NA,NA,LK,7
30,9,ausfarm,acr,22,44,hp,mix,309acr_HP_fs9,NA,1,2018,7,187,2,2,1,2,0,NA,NA,NA,NA,GB,7
30,9,ausfarm,acr,34,22,o,na,309acr_O_fs18,NA,1,2018,7,183,0,2,2,2,1,NA,NA,NA,NA,LK,7
3,10,rizzatto,cos,48,38,o,na,310cos_O_fs15,NA,1,2018,7,187,1,2,1,1,2,NA,NA,NA,NA,LK,7
7,10,savio,bir,7,11,hp,PL_mix,710bir_HP_fs101,NA,1,2018,7,181,2,1,1,1,2,NA,NA,NA,NA,GB,7
7,10,savio,bir,6,79,hp,PL_mix,710bir_HP_fs104,NA,1,2018,7,181,2,2,2,1,0,NA,NA,NA,NA,GB,7
7,10,savio,bir,14,112,hp,PL_mix,710bir_HP_fs115,NA,1,2018,7,181,1,0,2,2,2,NA,NA,NA,NA,LK,7
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 1 _ 2,NA,1,2017,7,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
6,10,nicoletti,23,NA,NA,hp,mix,Nic_23_ C-HP _ 3 _ 3,NA,1,2017,7,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
26,9,ausfarm,ber,NA,NA,hp,mix,Aus_Bert_ C-HP _ 1 _ 1,NA,1,2017,7,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
27,9,savio,bir,NA,NA,o,na,Sav_Bird_ O _ 1 _ 4,NA,1,2017,7,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
27,9,savio,bir,NA,NA,o,na,Sav_Bird_ O _ 2 _ 4,NA,1,2017,7,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 2 _ 1,NA,1,2017,7,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 3 _ 4,NA,1,2017,7,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 4 _ 1,NA,1,2017,7,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
8,10,aeroview,hb2,NA,NA,o,na,Aer_House Block 2_ O _ 1 _ 2,NA,1,2017,7,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
8,10,aeroview,hb2,NA,NA,o,na,Aer_House Block 2_ O _ 2 _ 1,NA,1,2017,7,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 3 _ 1,NA,1,2017,7,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 4 _ 5,NA,1,2017,7,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 2 _ 1,NA,1,2017,7,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
10,10,ausfarm,bri,20,16,v,na,1010bri_v_fs102,15,1,2018,7,237,2,1,2,1,1,NA,NA,NA,NA,LK,7
3,10,rizzatto,cos,NA,NA,o,na,310cos_O_st014,NA,1,2018,7,187,2,1,2,1,1,NA,NA,NA,NA,LK,7
1,10,savio,for,2,64,hp,mix,110for_HP_fs123,NA,1,2018,7.1,187,1,2,2,2,0.1,NA,NA,NA,NA,LK,7
1,10,savio,for,12,58,o,na,110for_O_fs11,NA,1,2018,7.1,184,2,2,1.1,1,1,NA,NA,NA,NA,LK,7
2,10,aeroview,hb2,13,54,hp,mix,210hb2_HP_fs020,NA,1,2018,7.1,186,2,2,1,2,0.1,NA,NA,NA,NA,LK,7
2,10,aeroview,hb2,13,54,hp,mix,210hb2_HP_fs021,NA,1,2018,7.1,186,1,2,2,1,1.1,NA,NA,NA,NA,LK,7
2,10,aeroview,hb2,2,76,hp,PL_mix,210hb2_HP_fs110,NA,1,2018,7.1,186,1.1,1,1,2,2,NA,NA,NA,NA,GB,7
2,10,aeroview,hb2,5,47,hp,PL_mix,210hb2_HP_fs115,NA,1,2018,7.1,186,2,2,1.1,2,0,NA,NA,NA,NA,GB,7
26,9,fastfruit,pit,6,71,hp,mix,269pit_HP_fs5,NA,1,2018,7.1,192,1.1,2,1,2,1,NA,NA,NA,NA,LK,7
27,9,rizzatto,cos,37,70,hp,PL_mix,279cos_HP_fs109,NA,1,2018,7.1,193,2,2,0,1,2.1,NA,NA,NA,NA,GB,7
27,9,rizzatto,cos,22,94,hp,mix,279cos_HP_fs6,NA,1,2018,7.1,193,2,0,1.1,2,2,NA,NA,NA,NA,GB,7
29,9,ausfarm,v1,62,35,hp,mix,299v1_HP_fs114,NA,1,2018,7.1,188,2,2,2,1,0.1,NA,NA,NA,NA,GB,7
30,9,ausfarm,acr,33,34,hp,mix,309acr_HP_fs16,NA,1,2018,7.1,187,1,1.1,2,2,1,NA,NA,NA,NA,GB,7
7,10,savio,bir,11,80,hp,PL_mix,710bir_HP_fs107,NA,1,2018,7.1,181,2,1,1.1,1,2,NA,NA,NA,NA,GB,7
10,10,ausfarm,acr,NA,NA,hp,mix,Aus_16 Acres_ C-HP _ 2 _ 2,NA,1,2017,7.1,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
27,9,savio,bir,NA,NA,hp,mix,Sav_Bird_ C-HP _ 3 _ 2,NA,1,2017,7.1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
8,10,aeroview,hb2,NA,NA,hp,mix,Aer_House Block 2_ C-HP _ 4 _ 4,NA,1,2017,7.1,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 1 _ 4,NA,1,2017,7.1,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
1,10,fastfruit,pit,NA,NA,hp,mix,Fas_Pitch3_ C-HP _ 5 _ 1,NA,1,2017,7.1,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,LK,7
3,10,rizzatto,cos,NA,NA,o,na,310cos_O_st013,NA,1,2018,7.1,187,2,0.1,2,1,2,NA,NA,NA,NA,LK,7
1,10,savio,for,31,15,hp,PL_mix,110for_HP_fs7,NA,1,2018,7.2,187,1,2,1.1,1.1,2,NA,NA,NA,NA,GB,7
